Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
"2,3,4-Trimethylpentane",-4.8,-3.276,CC(C)C(C)C(C)C
"2,3,5,6-Tetrachlorophenol",-3.37,-4.203,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
"2,3',5-PCB",-6.01,-5.762,Clc1cccc(c1)c2cc(Cl)ccc2Cl
"2,3,5-Trichlorophenol",-2.67,-3.78,Oc1cc(Cl)cc(Cl)c1Cl
"2,3,6-Trichlorophenol",-2.64,-3.572,Oc1c(Cl)ccc(Cl)c1Cl
"2,3-Dichloronitrobenzene",-3.48,-3.322,O=N(=O)c1c(Cl)c(Cl)ccc1
"2,3-Dichlorophenol",-1.3,-3.144,Oc1cccc(Cl)c1Cl
"2,3-Dimethyl-1,3-Butadiene",-2.4,-2.052,CC(=C)C(=C)C
"2,3-Dimethylbutane",-3.65,-2.584,CC(C)C(C)C
"2,3-Dimethylnaphthalene",-4.72,-4.116,Cc1cc2ccccc2cc1C
"2,3-Dimethylpentane",-4.28,-2.938,CCC(C)C(C)C
"2,3-Dimethylpyridine",0.38,-2.067,Cc1cccnc1C
"2,4,5-PCB",-6.27,-5.762,Clc1ccc(cc1)c2cc(Cl)ccc2Cl
"2,4',5-PCB",-6.25,-5.762,Clc1ccc(cc1)c2cc(Cl)ccc2Cl
"2,4,5-Trichlorophenol ",-2.21,-3.78,Oc1cc(Cl)c(Cl)cc1Cl
"2,4,6-PCB",-6.14,-5.604,Clc1ccc(cc1)c2c(Cl)cccc2Cl
"2,4,6-Trichlorophenol",-2.34,-3.648,Oc1c(Cl)cc(Cl)cc1Cl
"2,4,6-Trimethylphenol",-2.05,-2.941,Cc1cc(C)c(O)c(C)c1
"2,4,6-Trinitrotoluene",-3.22,-2.606,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
"2,4-Dichlorophenol ",-1.55,-3.22,Oc1ccc(Cl)cc1Cl
"2,4-Dimethyl-2-pentanol ",-0.92,-1.647,CC(C)CC(C)(C)O
"2,4-Dimethyl-3-pentanol",-1.22,-1.647,CC(C)C(O)C(C)C
"2,4-Dimethyl-3-pentanone",-1.3,-1.752,CC(C)C(=O)C(C)C
"2,4-Dimethylpentane",-4.26,-2.938,CC(C)CC(C)C
"2,4-Dimethylphenol",-1.19,-2.621,Cc1ccc(O)c(C)c1
"2,4-Dimethylpyridine",0.38,-2.098,Cc1ccnc(C)c1
"2,4-Dinitrotoluene",-2.82,-2.604,Cc1ccc(cc1N(=O)=O)N(=O)=O
"2,4'-PCB",-5.28,-5.142,Clc1ccc(cc1)c2ccccc2Cl
"2,4-PCB",-5.25,-5.142,Clc1ccc(cc1)c2ccccc2Cl
"2,6-Dichlorophenol",-1.79,-3.012,Oc1c(Cl)cccc1Cl
"2,6-Dimethylnaphthalene ",-4.89,-4.147,Cc1ccc2cc(C)ccc2c1
"2,6-Dimethylphenol",-1.29,-2.589,Cc1cccc(C)c1O
"2,6-Dimethylpyridine",0.45,-2.098,Cc1cccc(C)n1
"2,6-Dinitrotoluene",-3,-2.553,Cc1c(cccc1N(=O)=O)N(=O)=O
"2,6-PCB",-5.21,-4.984,Clc1cccc(Cl)c1c2ccccc2
"2,7-dimethylquinoline",-1.94,-3.342,c2c(C)cc1nc(C)ccc1c2
2-aminoanthracene,-5.17,-3.789,Nc3ccc2cc1ccccc1cc2c3
2-bromonaphthalene,-4.4,-4.434,c1c(Br)ccc2ccccc12
2-Bromonapthalene,-4.4,-4.434,Brc1ccc2ccccc2c1
2-Bromopropane,-1.59,-1.949,CC(C)Br
2-Bromotoluene,-2.23,-3.667,Cc1ccccc1Br
2-Butanone,0.52,-0.491,CCC(=O)C
2-butenal,0.32,-0.604,CC=CC=O
2-Butoxyethanol,-0.42,-0.775,CCCCOCCO
2-Chloro-2-methylbutane,-2.51,-2.278,CCC(C)(C)Cl
2-Chloroanisole,-2.46,-2.912,COc1ccccc1Cl
2-Chlorobiphenyl,-4.54,-4.528,Clc1ccccc1c2ccccc2
2-Chlorobutane,-1.96,-1.94,CCC(C)Cl
2-Chloronapthalene,-4.14,-4.063,Clc1ccc2ccccc2c1
2-Chlorophenol,-1.06,-2.553,Oc1ccccc1Cl
2-Chloropropane,-1.41,-1.585,CC(C)Cl
2-Chlorotoluene,-3.52,-3.297,Cc1ccccc1Cl
2-cyanoguanidine,-0.31,0.361,NC(N)=NC#N
2-Decanone,-3.3,-2.617,CCCCCCCCC(=O)C
2-Ethyl pyridine,0.51,-2.051,CCc1ccccn1
2-Ethyl-1-butanol,-1.17,-1.381,CCC(CC)CO
2-Ethyl-1-hexanol,-2.11,-2.089,CCCCC(CC)CO
2-Ethyl-2-hexanal,-2.46,-2.081,CCCC=C(CC)C=O
2-Ethylbutanal,-1.52,-1.523,CCC(CC)C=O
2-Ethylhexanal,-2.13,-2.232,CCCCC(CC)C=O
2-Ethylnaphthalene,-4.29,-4.1,CCc1ccc2ccccc2c1
2-Ethyltoluene,-3.21,-3.296,CCc1ccccc1C
2-Heptanol ,-1.55,-1.678,CCCCCC(C)O
2-Heptanone,-1.45,-1.554,CCCCCC(=O)C
2-Hexanol,-0.89,-1.324,CCCCC(C)O
2-Hexanone,-0.8,-1.2,CCCCC(=O)C
2-hydroxypteridine,-1.947,-1.404,Oc2ncc1nccnc1n2
2-Hydroxypyridine,1.02,-1.655,Oc1ccccn1
2-Iodopropane,-2.09,-2.486,CC(C)I
2-Isopropyltoluene,-3.76,-3.585,CC(C)c1ccccc1C
2-methoxypteridine,-1.11,-1.589,COc2ncc1nccnc1n2
2-Methy-2-Butene,-2.56,-1.994,CC=C(C)C
"2-Methyl-1,3-Butadiene ",-2.03,-1.714,CC(=C)C=C
2-Methyl-1-Butene,-2.73,-1.994,CCC(=C)C
2-Methyl-1-Pentene,-3.03,-2.348,CCCC(=C)C
2-Methyl-2-heptanol,-1.72,-2.017,CCCCCC(C)(C)O
2-Methyl-2-hexanol,-1.08,-1.663,CCCCC(C)(C)O
2-Methyl-2-pentanol,-0.49,-1.308,CCCC(C)(C)O
2-Methyl-3-pentanol,-0.7,-1.308,CCC(O)C(C)C
2-Methylanthracene,-6.96,-4.87,Cc1ccc2cc3ccccc3cc2c1
2-Methylbutan-2-ol,0.15,-0.954,CCC(C)(C)O
2-Methylbutane,-3.18,-2.245,CCC(C)C
2-Methylbutanol,-0.47,-1.027,CCC(C)CO
2-Methylheptane,-5.08,-3.308,CCCCCC(C)C
2-Methylnapthalene,-3.77,-3.802,Cc1ccc2ccccc2c1
2-Methylpentane,-3.74,-2.6,CCCC(C)C
2-Methylpentanol,-1.11,-1.381,CCCC(C)CO
2-Methylphenanthrene,-5.84,-4.87,Cc1ccc2c(ccc3ccccc32)c1
2-Methylphenol,-0.62,-2.281,Cc1ccccc1O
2-Methylpropan-1-ol,0.1,-0.672,CC(C)CO
2-Methylpropane,-2.55,-1.891,CC(C)C
2-Methylpropene,-2.33,-1.573,CC(=C)C
2-methylpteridine,-0.12,-1.24,Cc2ncc1nccnc1n2
2-Methyltetrahydrofurane,0.11,-1.034,CC1CCCO1
2-Napthol,-2.28,-3.08,Oc1ccc2ccccc2c1
2-Nitropropane,-0.62,-0.743,CC(C)N(=O)=O
2-Nonanol,-2.74,-2.387,CCCCCCCC(C)O
2-Nonanone,-2.58,-2.263,CCCCCCCC(=O)C
2-Octanol,-2.09,-2.033,CCCCCCC(C)O
2-Octanone,-2.05,-1.909,CCCCCCC(=O)C
2-Pentanol,-0.29,-0.97,CCCC(C)O
2-Pentanone,-0.19,-0.846,CCCC(=O)C
2-Phenoxyethanol,-0.7,-1.761,OCCOc1ccccc1
2-Propanol,0.43,-0.261,CC(C)O
2-pyrrolidone,1.07,0.243,O=C1CCCN1
2-Undecanol,-2.94,-3.096,CCCCCCCCCC(C)O
"3,3-Dimethyl-1-butanol",-0.5,-1.365,CC(C)(C)CCO
"3,3-Dimethyl-2-butanol",-0.62,-1.292,CC(O)C(C)(C)C
"3,3-Dimethyl-2-butanone",-0.72,-1.25,CC(=O)C(C)(C)C
"3,3-Dimethylpentane",-4.23,-2.938,CCC(C)(C)CC
"3,4-Dichloronitrobenzene",-3.2,-3.448,O=N(=O)c1cc(Cl)c(Cl)cc1
"3,4-Dichlorophenol",-1.25,-3.352,Oc1ccc(Cl)c(Cl)c1
"3,4-Dimethylphenol",-1.38,-2.621,Cc1ccc(O)cc1C
"3,4-Dimethylpyridine",0.36,-2.067,Cc1ccncc1C
"3,4-PCB",-6.39,-5.223,Clc1ccc(cc1Cl)c2ccccc2
"3,5-Dichlorophenol",-1.34,-3.428,Oc1cc(Cl)cc(Cl)c1
"3,5-Dimethylphenol",-1.4,-2.652,Cc1cc(C)cc(O)c1
"3,5-Dimethylpyridine",0.38,-2.098,Cc1cncc(C)c1
3-Butanoyloxymethylphenytoin,-5.071,-3.469,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Chloroanisole,-2.78,-3.057,COc1cccc(Cl)c1
3-Chlorobiphenyl,-4.88,-4.685,c1c(Cl)cccc1c2ccccc2
3-Chlorophenol,-0.7,-2.761,Oc1cccc(Cl)c1
3-chloropropionitrile,-0.29,-0.522,ClCCC#N
3-Ethanoyloxymethylphenytoin,-4.47,-2.723,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Ethyl-3-pentanol,-0.85,-1.663,CCC(O)(CC)CC
3-Heptanol ,-1.47,-1.678,CCCCC(O)CC
3-Heptanoyloxymethylphenytoin,-6.301,-4.496,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Hexanol,-0.8,-1.324,CCCC(O)CC
3-Hexanone,-0.83,-1.266,CCCC(=O)CC
3-Hexanoyloxymethylphenyltoin,-5.886,-4.153,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Hexyne,-1.99,-1.933,CCC#CCC
3-Methyl-1-Butene,-2.73,-1.994,CC(C)C=C
3-Methyl-2-butanol,-0.18,-0.954,CC(C)C(C)O
3-Methyl-2-butanone,-0.12,-0.912,CC(C)C(=O)C
3-Methyl-2-pentanol,-0.72,-1.381,CCC(C)CCO
3-Methyl-2-pentanol,-0.71,-1.308,CCC(C)CCO
3-Methyl-2-pentanone,-0.67,-1.266,CCC(C)C(=O)C
3-Methyl-3-heptanol,-1.6,-2.017,CCCCC(C)(O)CC
3-Methyl-3-hexanol,-0.98,-1.663,CCCC(C)(O)CC
3-Methyl-3-pentanol,-0.36,-1.308,CCC(C)(O)CC
3-Methylbutan-1-ol,-0.51,-1.027,CC(C)CCO
3-Methylcholanthrene,-7.92,-6.311,c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2
3-Methylheptane,-5.16,-3.308,CCCCC(C)CC
3-methylindole,-2.42,-2.981,Cc1c[nH]c2ccccc12
3-Methylpentane,-3.68,-2.6,CCC(C)CC
3-Methylphenol,-0.68,-2.313,Cc1cccc(O)c1
3-Octanol,-1.98,-2.033,CCCCCC(O)CC
3-Octanoyloxymethylphenytoin,-6.523,-4.84,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Pentanol,-0.24,-0.97,CCC(O)CC
3-Pentanone,-0.28,-0.912,CCC(=O)CC
3-Pentanoyloxymethylphenytoin,-4.678,-3.81,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Propanoyloxymethylphenytoin,-4.907,-3.128,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
"4,4'-PCB",-6.56,-5.299,Clc1ccc(cc1)c2ccc(Cl)cc2
4-Bromophenol,-1.09,-3.132,Oc1ccc(Br)cc1
4-Bromotoluene,-3.19,-3.667,Cc1ccc(Br)cc1
4-Chloroanisole,-2.78,-3.057,COc1ccc(Cl)cc1
4-Chlorophenol ,-0.7,-2.761,Oc1ccc(Cl)cc1
4-Chlorotoluene,-3.08,-3.297,Cc1ccc(Cl)cc1
4-Ethyltoluene,-3.11,-3.328,CCc1ccc(C)cc1
4-Heptanol,-1.4,-1.678,CCCC(O)CCC
4-Heptanone,-1.3,-1.62,CCCC(=O)CCC
4-hexylresorcinol,-2.59,-3.493,c1(O)cc(O)ccc1CCCCCC
4-hydroxypyridine,1.02,-1.655,Oc1ccncc1
4-Isopropyltoluene,-3.77,-3.617,CC(C)c1ccc(C)cc1
4-methoxypteridine,-1.11,-1.589,COc1ncnc2nccnc12
4-Methyl-2-pentanol,-0.8,-1.308,CC(C)CC(C)O
4-Methyl-2-pentanone,-0.74,-1.184,CC(C)CC(=O)C
4-Methylbiphenyl,-4.62,-4.424,Cc1ccc(cc1)c2ccccc2
4-Methylpentanol,-1.14,-1.381,CC(C)CCCO
4-methylpteridine,-0.466,-1.24,Cc1ncnc2nccnc12
4-Nitroacetanilide,-2.692,-2.219,CC(=O)Nc1ccc(cc1)N(=O)=O
4-Pentene-1-ol,-0.15,-0.791,OCCCC=C
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,-2.126,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,-2.465,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C
"5,5-Diallylbarbital",-2.077,-1.471,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
"5,5-Diisopropylbarbital",-2.766,-1.942,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
"5,5-Dimethylbarbituric acid",-1.742,-0.556,O=C1NC(=O)NC(=O)C1(C)C
"5,6,7,8-tetrahydro-2-naphthol",-1.99,-3.086,Oc2ccc1CCCCc1c2
"5,6-Dimethylchrysene",-7.01,-6.265,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
5-Allyl-5-ethylbarbital,-1.614,-1.368,O=C1NC(=O)NC(=O)C1(CC)CC=C
5-Allyl-5-isopropylbarbital,-1.708,-1.706,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
5-Allyl-5-methylbarbital,-1.16,-1.013,O=C1NC(=O)NC(=O)C1(C)CC=C
5-Allyl-5-phenylbarbital,-2.369,-2.36,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
5-Ethyl-5-(3-methylbutyl)barbital,-2.658,-2.312,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C
5-Ethyl-5-isopropylbarbituric acid,-2.148,-1.603,O=C1NC(=O)NC(=O)C1(CC)C(C)C
5-Ethyl-5-phenylbarbital,-2.322,-2.272,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
5-fluorouracil,-1.077,-0.792,Fc1c[nH]c(=O)[nH]c1=O
5-hydroxyquinoline,-2.54,-2.725,Oc1cccc2ncccc12
5-Methyl-5-ethylbarbituric acid,-1.228,-0.911,O=C1NC(=O)NC(=O)C1(C)CC
